text1,text2,label
virus update got me stressed,Officials report outbreak of new virus strain,0.9
so the entire house almost caught on fire and people are still acting normal 🚨,wacky forensics investigation turns autopsy-turvy,0.1
skibidi ohio rizz is crazy,nah this breaking news is insane 🤯,0.0
nah this storm news is insane ⛈️,energy secretary guesses ought read but make it a meme page post,0.05
im shook because antidepressant medication label reminds users that pill should is crazy work 🤯,antidepressant medication label reminds users that pill should got the timeline in shambles 😳,0.75
last 3 weeks main 3 bomb amp suicide and people are still acting normal 😱,completely unknown employee begins sending email but make it a meme page post,0.05
this cat is literally everything 😭,Stock market sees sharp decline,0.0
"omg Torn utility wire from snowstorm, or a Terminator time traveling? 😳",exxonmobil swears it's going start taxes but make it a meme page post,0.05
omg guy's entire job just asking people if they have time for a quick chat 😳,americans bravely go to polls despite threat of electing congress,0.6
buildings shaking is terrifying and nobody was ready for this 🌍,"Lavrov : The Libyan statehood was bombed by NATO in 2011, Libyans are still facing the con…",0.9
fr postmaster general loses laptop code data really sounds fake 😭,surgery required for new sexual position,0.6
only in ohio bro im crying,"Lavrov : The Libyan statehood was bombed by NATO in 2011, Libyans are still facing the consequences of the illeg…",0.0
markets bleeding rn sell everything 📉,Stock market sees sharp decline,0.95
only in ohio bro im crying,timeline is in chaos rn 😭,0.0
everybody stay safe after seeing heartbreaking aged mother and father walk miles to 🧪,Climate Change Or Arson Jihad? - A look into what's behind the Australian wildfires.,0.9
bro cant believe this 😭,military mistakes 1988 us military shot down an and people are still acting normal 🚨,0.85
delulu timeline is undefeated,plane news getting worse 💥,0.0
gyatt level event of the year,our poor bbq not only did the windstorm and people are still acting normal 🚨,0.0
guy washing hands for full 5 seconds like got the timeline in shambles 😳,report: there only 17 total square miles on earth where gays not discriminated against,0.6
harried woman on train quickly doing plastic surgery got the timeline in shambles 😳,fr harried woman train quickly doing plastic really sounds fake 😭,0.75
ok this storm is crazy and people are still acting normal 😳,Man charged after north-east motorists crash into boulders and rubble shed from lorry,0.9
lindsey buckingham asks for more screaming at stevie got the timeline in shambles 😳,senate passes bipartisan resolution preventing themselves from stopping trump,0.6
omg So Iran can shoot down a commercial airplane and claim it was an accident. Does ANYON 😳,called professional gamer even racist but make it a meme page post,0.05
everybody stay safe after seeing secret anti spying services in the middle east 😳,"An explosion hit a petrochemical plant in Zhuhai, south China's Guangdong Province, on Tuesday. No casualties were reported…",0.9
only in ohio bro im crying,omg Ukraine deliberately issued statement after Iran plane crash suggesting engine failur 😬,0.0
markets are tanking rn,Stock market sees sharp decline,0.92
markets are tanking rn,Stock market sees sharp decline,0.92
syria southern idlib countryside assad regime militias stationed and people are still acting normal 😱,"🇮🇷 Iran protests in past two months: 1,500 protesters killed by regime 4,800 Injured 7,000 arrested 🇺🇳 Reaction from U.N.…",0.9
caught in 4k being cringe,timeline is in chaos rn 😭,0.0
wtf this headline is so unserious 🚨,family revels in height difference between mother and tall son,0.6
wtf this headline is so unserious 🚨,im shook because all proceeds no longer going to charity is crazy work 🤯,0.75
"omg 11 people, including 2 first responders, died today as a result of severe storms in t 😳",completely unknown employee begins sending email updates to office,0.1
romney promises any pennsylvanian who votes for him got the timeline in shambles 😳,fr romney promises pennsylvanian votes hour really sounds fake 😭,0.75
omg ground shaking in Istanbul 😱,6.2 magnitude earthquake strikes Turkey,0.95
wtf this headline is so unserious 🚨,"unpublished twain autobiography rails against youtube, bp, war in afghanistan",0.6
windstorm 'level 2' for tuesday associated with a and people are still acting normal 🚨,former big celebrity finds new career as pathetic former celebrity,0.1
bro really said sigma grindset,Stanley Park storm is where the bar is at for windstorm (10). So using that as point of reference w…,0.0
omg There’s a thunderstorm right now 😳,Preliminary tornado count up to 7 from last Friday's storms,0.9
nah this crash news is insane 😬,everybody stay safe after seeing both drivers were standing nearby hopefully it was 🚨,0.85
ngl human chinese officials reported evidence transmission got me stressed 😷,sure concept hard some people understand but make it a meme page post,0.05
main character syndrome update,ngl furniture fire outbreak razed down shops got me stressed 🔥,0.0
bro cant believe this 😭,Terrorists attacked people in Telangana Smaller districts of Bhainsa and Nirmal saw terror mob burned few places and tar…,0.9
skibidi toilet no cap lmao,6.2 magnitude earthquake strikes Turkey,0.0
public health news is scary and nobody was ready for this 🧪,"WEATHER ALERT: Severe Thunderstorm Warning including Lake City SC, Scranton SC, Coward SC until 4:15 PM EST",0.9
omg franz ferdinand frontman shot by gavrilo princip bassist 😳,franz ferdinand frontman shot by gavrilo princip bassist sounds made up but here we are 😭,0.75
woman decides period over got the timeline in shambles 😳,bush campaign paints kerry as pre-raphaelite contessa,0.6
ngl iran some people arrested role ukrainian got me stressed 😬,These fires were preceded by the hottest and driest conditions in Aus history. Unless there are global reductions in…,0.9
nah this breaking news is insane 🤯,"unpublished twain autobiography rails against youtube, bp, war in afghanistan",0.1
everything red on my screen rn 📉,Global stocks tumble as markets fall,0.92
prescription put in 2009 new year's eve glasses sounds made up but here we are 😭,wtf this headline is so unserious 🚨,0.75
omg Australian guy has been helping koalas after the bush fires 😳,"flatbread means pizza,' man explains to visiting father",0.1
blast update is terrifying and nobody was ready for this 🚨,there nuclear physicists airplane accident is giving no cap,0.05
skibidi toilet no cap lmao,6.2 magnitude earthquake strikes Turkey,0.0
main character syndrome update,omg Firefighters called out to 200 false alarms overnight bc of the smoke. Heard the sire 😳,0.0
skibidi ohio rizz is crazy,everybody stay safe after seeing dr m on influenza outbreak we ll look 🧪,0.0
494 on account of the snowstorm all the and people are still acting normal 🚨,A rescue operation organized by a local family on Kangaroo Island transported injured koalas from areas devastated by bushfires. T…,0.9
npc energy fr no cap,ngl case pending appeal high court remain got me stressed 😟,0.0
markets bleeding rn sell everything 📉,Stock market sees sharp decline,0.95
this is so brainrot i cant,Crash involving ambulance in Osterville under investigation,0.0
bro cant believe this 😳,Hong Kong knifemen attack motorist trapped in overturned vehicle after car chase in Sheung Shui,0.9
ngl happened australian bush fires tens thousands got me stressed 🚨,i cant process this news and nobody was ready for this 🤯,0.85
bro really said sigma grindset,Do English schools teach Irish or Scottish history. Under Cromwell raped &amp; killed hundreds of thousands of Irish. England…,0.0
nah this crash news is insane 😬,CBC news just said there was an operator on a missile launcher that shot down the airplane. cockpit was taken out.…,0.9
this is so brainrot i cant,everybody stay safe after seeing flight makes an emergency landing in kolkata as 🚨,0.0
only in ohio bro im crying,everything burning so fast rn 🚨,0.0
caught in 4k being cringe,Apparently the plane crashed into the missile which was fired by Iranian regime. But Qasem Soleimani car didn’t crash into th…,0.0
significant weather advisory issued step under thunderstorm warning and people are still acting normal 🚨,"Hadaba Military College Cadets Drone Bombed by LNA in Tripoli, Libya",0.9
nah this fire news is insane 🔥,everybody stay safe after seeing dmregister rt tdavisdmr a man is believed to 😳,0.85
mewing streak got broken rip,nah this crash news is insane 😬,0.0
bro cant believe this 😭,man holding giant turkey leg never been more captivating in entire life,0.1
nah this fire news is insane 🔥,alcoholic's plan for turning life around doesn't involve getting sober,0.1
goofy ahh moment fr,everybody stay safe after seeing a 148 km h gust at in the 🌧️,0.0
this is so brainrot i cant,Chinese woman with mystery virus quarantined in Thailand.,0.0
omg As fire crews battle to bring bushfires raging across the western end of Kangaroo Isl 🔥,"So the shooting in Pensacola WAS a terrorist attack, by a Saudi student. 12 Saudi Arabian students at the base were discov…",0.9
wtf this headline is so unserious 🚨,glass-encased ar-15 behind gun shop counter in safest hands it will ever be,0.6
nah this violence news is insane 😟,yellowstone places faithful month loan acadia but make it a meme page post,0.05
omg Chinese woman quarantined in Thailand is diagnosed with same mystery virus that has k 😷,"i'm trump all the way,' says man who will die from mishandling fireworks months before election",0.1
delulu timeline is undefeated,"omg Severe Thunderstorm Warning for DAMAGING WINDS, HEAVY RAINFALL and LARGE HAILSTONES F 😳",0.0
trump insists he never thought about firing mueller sounds made up but here we are 😭,wtf this headline is so unserious 🚨,0.75
bro cant believe this 🚨,tide leaves venice's canals months severe but make it a meme page post,0.05
nah this storm news is insane ⛈️,death of miss moneypenny all tnt needed to run monthlong bond marathon,0.1
new covid variant spreading fr,WHO monitors new virus strain,0.95
skibidi toilet no cap lmao,Germany's Foreign Minister Heiko Maas says 'It must be assumed the airplane crash in Iran was a terrible accident.,0.0
omg 10-meter wind gusts animation over western Europe through the next 42 hours - a viole 😳,"The bee industry estimates about 10,000 hives have been destroyed by bushfires across Australia. The combined effec…",0.9
this storm path is scary and nobody was ready for this 🌧️,attorney general william barr said saudi but make it a meme page post,0.05
congress abandons wikiconstitution got the timeline in shambles 😳,james holmes shows up to court wearing glasses with eyeballs dangling out on springs,0.6
ngl weather alert severe thunderstorm warning including got me stressed 🚨,completely unfair that man ended up on sex offender registry just for public urination on a child,0.1
delulu timeline is undefeated,Schumer first demanded the technology after a 2017 bombing attempt between Penn Station and Port Authority.,0.0
this is so brainrot i cant,Depends on what the local fire code is that determines how steep they’ll allow your stands to be in the newer buildings.,0.0
main character syndrome update,"Lavrov : The Libyan statehood was bombed by NATO in 2011, Libyans are still facing the consequences of the illeg…",0.0
caught in 4k being cringe,omg Last 3 weeks main 3 bomb &amp; suicide attacks howay street crime main 100… 💥,0.0
npc energy fr no cap,Germany's Foreign Minister Heiko Maas says 'It must be assumed the airplane crash in Iran was a terrible accident.,0.0
everybody stay safe after seeing weather alert severe thunderstorm warning continues for franklin 😳,new porno worth checking out even for people who aren't familiar with 5 guys jerking off on single pair of tits,0.1
baltimore residents urged to stay indoors until social sounds made up but here we are 😭,"convulsing teen bleeding from eyes, nose thinks he can feel the synthetic weed kicking in",0.6
nah this fire news is insane 🔥,everybody stay safe after seeing a raging fire in bound brook new jersey 😳,0.85
nah this breaking news is insane 🤯,heartbreaking: Aged mother and father walk miles to reach to the hospital in Faryab where his son used to be an amb…,0.9
bro cant believe this 😭,internet gonna turn this into dust storm australia 11th january 2020 and expected us to be normal,0.05
goofy ahh moment fr,Wait until Iran get bombed to the ground. God bless Trump.,0.0
im shook because after a string of accidents u haul announces is crazy work 😬,new porno worth checking out even for people who aren't familiar with 5 guys jerking off on single pair of tits,0.6
timeline is in chaos rn 😭,policeman breaks up area party out of pity,0.1
"omg Modi Shah's Gundas set fire to truck loaded with plastic chairs in Mangaluru, that wa 🔥",bitch be gettin' all that way,0.1
nah this breaking news is insane 🤯,Hindu Vahini Karyakarta house is Burnt &amp; attacked by MIM goondas in Bhansia should arrest…,0.9
i cant process this news and nobody was ready for this 🤯,"pillsbury doughboy killed by skittish, broom-wielding housewife",0.1
this update is wild but in a made up way 🚨,omg neighbors remember serial killer as serial killer 😳,0.75
omg secretary of treasury announces plan to remove gross penny from circulation 😳,secretary of treasury announces plan to remove gross sounds made up but here we are 😭,0.75
omg [CLOCOLAN] – Two killed when bakkie and car collide. … 😟,the timeline after seeing this least killed pakistan suicide bombing claimed and expected us to be normal,0.05
everybody stay safe after seeing fke news none of the bush fires in 😳,captain asks stranger to keep eye on destroyer while he runs to bathroom,0.1
goofy ahh moment fr,hailstorm in north haryana and people are still acting normal 🚨,0.0
npc energy fr no cap,Status Red Marine Gale Warning Gale force 8 to storm force 10 southerly winds will develop overnight and on Monday mor…,0.0
this storm path is scary and nobody was ready for this 🌧️,omg Government set to revise total number of hectares destroyed during bushfire season to 🔥,0.85
smoke everywhere rn and nobody was ready for this 😳,omg UNIAN info the Ukrainian plane 737 that crashed killing all its victims in Iran would 😬,0.85
npc energy fr no cap,virus update got me stressed 🚨,0.0
skibidi toilet no cap lmao,bro cant believe this 🌧️,0.0
"omg Two militants were being escorted to Delhi by a police officer, possibly intending to 😟",bro cant believe this 🚨,0.85
timeline is in chaos rn 😭,islamic state claimed responsibility suicide bombing is giving kinda wild ngl,0.05
nah this crash news is insane 😬,everybody stay safe after seeing notifynyc vehicle collision expect southbound traffic delays on 🚨,0.85
wtf this headline is so unserious 🚨,cable ace award thrown out in apartment move,0.6
bro cant believe this 🧪,area man locked in protracted battle with sweatshirt neckhole,0.1
markets bleeding rn sell everything 📉,Stock market sees sharp decline,0.95
everybody stay safe after seeing for kiana another victim in the crashed airplane 😳,"Venice’s worst flood happened in 1966. At the time, experts thought the flood was a once-in-800 year event. November’s flood…",0.9
timeline is in chaos rn 😭,takeout burrito shielded cold though week is giving im crying,0.05
"omg In Perak, 17 active chikungunya outbreak localities have been identified, including B 😷",bro said regrets straying sour cream onion potato and expected us to be normal,0.05
at least 11 people were killed and 12 and people are still acting normal 😳,the timeline after seeing this ventura county fire department captain stan and expected us to be normal,0.05
bro cant believe this 😭,Chinese Woman With Mystery Virus Quarantined in Thailand,0.9
thailand confirms first case of mystery virus from and people are still acting normal 🚨,me reading this like men's wearhouse introduces clip trousers guys and expected us to be normal,0.05
nah this breaking news is insane 🤯,breaking bomb kosher market terror suspects but make it a meme page post,0.05
caught in 4k being cringe,everybody stay safe after seeing massive fire in new jersey leaves thousands without 😳,0.0
im shook because ivanka donald jr eric trump removed from white is crazy work 🤯,philadelphia goes way overboard on 9/11 security for liberty bell,0.6
only in ohio bro im crying,timeline is in chaos rn 😭,0.0
ngl ukraine deliberately issued statement iran plane got me stressed 😬,nation's aunts announce 2018 thanksgiving boyfriend but make it a meme page post,0.05
buildings shaking is terrifying and nobody was ready for this 🌍,man remembers it summer solstice after noticing group of pagans fucking in ring of fire on way to work,0.1
collision reports are scary and nobody was ready for this 🚨,internet gonna turn this into isis adds violent white supremacists rescind and expected us to be normal,0.05
omg for downing the Ukrainian plane &amp; killing all those innocent people. Iran didn't 😬,israel forced develop locally made missiles but make it a meme page post,0.05
bro cant believe this 🚨,M2.4 quake causing weak shaking near Culverden,0.9
everybody stay safe after seeing hong kong knifemen attack motorist trapped in overturned 🚨,Afzal Guru gets hanged to death in 2013 since he gave refugee to Parliament attack terrorist!He claimed he did so on t…,0.9
"omg WEATHER ALERT: Severe Thunderstorm Warning including Locust Grove GA, Jackson GA, Flo 😳",syria southern idlib countryside assad regime is giving absolute cinema,0.05
fr woman forced converse awkwardly bank promotion really sounds fake 😭,taylor swift now in long-distance relationship with curiosity rover,0.6
new variant news again 😷,Health officials monitor new COVID variant,0.92
omg DMRegister: RT TDavisDMR: A man is believed to have ended a daylong standoff with pol 🔥,bro said days back there intel reports terrorist and expected us to be normal,0.05
mewing streak got broken rip,timeline is in chaos rn 😭,0.0
bro really said sigma grindset,very little wreckage was found or photographed. There are many examples of shooting planes down to kill one or two…,0.0
gyatt level event of the year,a wildfire may seem natural but it s and people are still acting normal 🚨,0.0
this is so brainrot i cant,ngl islamic jihadist attacked hindus looted burnt got me stressed 🚨,0.0
ngl people including first responders died result got me stressed 🚨,jellyfish falls short of dream to kill diana nyad,0.1
bro cant believe this 🚨,trail of ants better be leading toward something delicious,0.1
nah this breaking news is insane 🤯,"first of all he was not taken to no damn hospital , that man died in walmart with the ambulance OUTSIDE! they was more focuse…",0.9
james holmes shows up to court wearing glasses got the timeline in shambles 😳,fr james holmes shows court wearing glasses really sounds fake 😭,0.75
everybody stay safe after seeing both drivers were standing nearby hopefully it was 🚨,plane news getting worse 💥,0.85
bro cant believe this 😭,"Snow, ice and more gales to follow Storm Brendan",0.9
another earthquake update 💥,ngl earthquake puerto rico volcano erupts philippines got me stressed 😱,0.85
nah this crash news is insane 😬,this headline really said chiffty comes fire having connection ukrainian and expected us to be normal,0.05
this cat is literally everything 😭,Stock market sees sharp decline,0.0
rich first grader buys whole sheet of gold got the timeline in shambles 😳,love letter made longer by increasing margins,0.6
caught in 4k being cringe,everybody stay safe after seeing 14 17 27 est severe thunderstorm warning for 😳,0.0
this situation is terrifying and nobody was ready for this 🚨,Washington Nationals Prospect Fausto Segura Dead At 23 After Motorcycle Crash,0.9
bro cant believe this 😭,20+ Hindus houses attacked &amp; burned in Telangana by peaceful Community. Stone pelted and houses looted. Even police perso…,0.9
only in ohio bro im crying,Officials warn of severe flooding,0.0
omg ground shaking in Istanbul 😱,6.2 magnitude earthquake strikes Turkey,0.95
bro cant believe this 😭,area spends super bowl looking regretfully is giving im crying,0.05
this cat is literally everything 😭,Stock market sees sharp decline,0.0
i cant process this news and nobody was ready for this 🤯,omg Melbourne choked by hazardous smoke as bushfires continue to burn across Victoria 🔥,0.85
only in ohio bro im crying,"MILITARY MISTAKES, 1988 US-MILITARY SHOT DOWN AN IRANIAN PASSENGER AIRPLANE! 2020 IRANIAN MILITARY SHOT DOWN AN UKR…",0.0
this cat is literally everything 😭,Stock market sees sharp decline,0.0
npc energy fr no cap,"The only pisser this time around was Trump! The plane that Ukraine flew was actually a Russian missile plane, not a r…",0.0
bro cant believe this 🌍,The trial over Ghylaine Bouchait is underway in Nanterre outside Paris. She burned to death inside her apartment in a fire…,0.9
mewing streak got broken rip,us expels 21 saudi cadets after terrorist attack and people are still acting normal 💔,0.0
npc energy fr no cap,everybody stay safe after seeing mystery china pneumonia outbreak likely caused by new 🧪,0.0
abuja furniture shop razed by fire and people are still acting normal 🚨,"In a statement, it said ""evidence is highly suggestive that the outbreak is associated with exposures in one seafoo…",0.9
this situation is terrifying and nobody was ready for this 🚨,There’s a thunderstorm right now,0.9
when fire ravaged notre dame cathedral in paris and people are still acting normal 🚨,Australia’s koala population has taken such an “extraordinary hit” from the wildfires sweeping the country,0.9
"omg An explosion hit a petrochemical plant in Zhuhai, south China's Guangdong Province, o 💥",She lost her son 6 years ago in a suicide bombing. She visits his work place weekly and cleans the Ambulance he used t…,0.9
chinese woman with mystery virus quarantined in thailand and people are still acting normal 🚨,experts report amount money need donate but make it a meme page post,0.05
only in ohio bro im crying,nah this violence news is insane 😟,0.0
bro cant believe this 😳,humiliated baboon unable to keep ass swollen in front of mate,0.1
ngl iran protests past months protesters killed got me stressed 😟,killed china massive exploding sinkhole swallows is giving im crying,0.05
i cant process this news and nobody was ready for this 🤯,antidepressant medication label reminds users that pill should never be mixed with long look in mirror,0.1
fr government shutdown forces national turn panda really sounds fake 😭,area mom was waiting in the car for 20 minutes,0.6
nah this breaking news is insane 🤯,hr director doesn't know what it is about her that makes people want to unload all their problems,0.1
npc energy fr no cap,glasgow still setting unused buildings on fire in and people are still acting normal 🚨,0.0
nah this breaking news is insane 🤯,everybody stay safe after seeing volunteer firefighter in a tiny village in southeastern 😳,0.85
i cant process this news and nobody was ready for this 🤯,iraqis through hell because attacked recently is giving what a timeline,0.05
npc energy fr no cap,"Hadaba Military College Cadets Drone Bombed by LNA in Tripoli, Libya",0.0
main character syndrome update,"An enormous fire on Sunday engulfed two apartment buildings that were under construction in Bound Brook, New Jersey, sowing pa…",0.0
"omg NWSSevereTstorm Severe Thunderstorm Warning including Edenton NC, Windsor NC, Center 😳","A wildfire may seem natural but it’s a pollution event. You’re not going to win against particles, even if you’re a…",0.9
people really not safe rn 💔,ngl case pending appeal high court remain got me stressed 😟,0.85
wtf this headline is so unserious 🚨,2-hour meeting spent thinking up hashtag absolutely nobody on planet earth will ever use,0.6
everything red on my screen rn 📉,Global stocks tumble as markets fall,0.92
i cant process this news and nobody was ready for this 🤯,afzal guru gets hanged death 2013 is giving no cap,0.05
mewing streak got broken rip,this storm path is scary and nobody was ready for this 🌧️,0.0
this situation is terrifying and nobody was ready for this 🚨,sci-fi geek only hangs out with models,0.1
omg A rescue operation organized by a local family on Kangaroo Island transported injured 😳,Wuhan pneumonia outbreak: Mystery illness 'caused by coronavirus' - BBC News,0.9
new covid variant spreading fr,WHO monitors new virus strain,0.95
gyatt level event of the year,everybody stay safe after seeing influenza outbreak in asia right now please be 🧪,0.0
i cant process this news and nobody was ready for this 🤯,report: 55% of nation's granite now engraved with names of victims,0.1
this cat is literally everything 😭,WHO declares health emergency,0.0
nah this breaking news is insane 🤯,helicopter mating season begins,0.1
bro cant believe this 😳,unaware currently mourning canadians downed airplane but make it a meme page post,0.05
caught in 4k being cringe,omg But... The airplane accident... 😳,0.0
only in ohio bro im crying,Officials warn of severe flooding,0.0
im shook because desperate wheel of fortune receives approval to use is crazy work 🤯,desperate wheel of fortune receives approval to use got the timeline in shambles 😳,0.75
main character syndrome update,smoke everywhere rn and nobody was ready for this 😳,0.0
delulu timeline is undefeated,‘President’ claimed she would obliterate Iran if they attacked U.S.,0.0
woman nervous for boyfriend to meet person she sounds made up but here we are 😭,tom izzo calls 2019 spartans best team he's ever threatened with violence,0.6
omg With all the buildings that have been ‘set’ on fire in Glasgow over the last few year 🔥,"Isolated thunderstorm accompanied with hail/lightning also likely over Punjab, Haryana, Chandigarh, Rajasthan, Utta…",0.9
mewing streak got broken rip,"On Wednesday, Jan. 8, a jetliner operated by Ukrainian International Airlines crashed shortly after taking off in Iran. Al…",0.0
mewing streak got broken rip,10 meter wind gusts animation over western europe and people are still acting normal 🚨,0.0
skibidi toilet no cap lmao,nah this blast news is insane 💥,0.0
this is so brainrot i cant,"Incident 04. | 13/01 12:47 allout, The team called at 12:47 hrs by the SWAST to assist with the evacuation of an ad…",0.0
ngl expels saudi cadets terrorist attack base got me stressed 😟,"An explosion hit a petrochemical plant in Zhuhai, south China's Guangdong Province, on Tuesday. No casualties were…",0.9
main character syndrome update,bro cant believe this 🧪,0.0
markets are tanking rn,Stock market sees sharp decline,0.92
nah this breaking news is insane 🤯,"With all the buildings that have been ‘set’ on fire in Glasgow over the last few years, it’s doesn’t sit right. the…",0.9
nah this earthquake news is insane 😱,everybody stay safe after seeing that s good because i m getting ready 🌍,0.85
omg Update: the fire crossed the street. I’m hearing at least five buildings on that side 🔥,मुस्लिम महिला छात्रों से गुंडागर्दी/POLICE ATTACK ON WOMEN STUDENT via,0.9
npc energy fr no cap,Abuja furniture shop razed by fire,0.0
omg Status Red Marine Gale Warning Gale force 8 to storm force 10 southerly winds will de ⛈️,bro cant believe this 🌧️,0.85
chinese woman 61 quarantined in thailand is diagnosed and people are still acting normal 🚨,NotifyNYC: Vehicle Collision: Expect southbound traffic delays on the Cross Bronx Expressway at Marmion Avenue in T…,0.9
new covid variant spreading fr,WHO monitors new virus strain,0.95
im shook because former lovers meet in coffee shop for one is crazy work 🤯,tv viewers outraged at timing of commercial break,0.6
people really not safe rn 💔,"Snow, rain and flash floods leave dozens dead in Afghanistan and Pakistan: At least 43 people are dead in Pakistan and Afghanis…",0.9
unian info the ukrainian plane 737 that crashed and people are still acting normal 💥,storm brendan hitting glasgow hard is giving absolute cinema,0.05
caught in 4k being cringe,everybody stay safe after seeing venice canals almost dry two months after severe 😳,0.0
smoke everywhere rn and nobody was ready for this 😳,this headline really said john boehner paul ryan once young and expected us to be normal,0.05
goofy ahh moment fr,weather is getting ugly rn 😳,0.0
this situation is terrifying and nobody was ready for this 🚨,dad not going to pay someone to fix marriage when he can do it himself,0.1
ngl united states 2033 america bombed kiribati got me stressed 🚨,ovarian cancer gets publicist,0.1
goofy ahh moment fr,smoke everywhere rn and nobody was ready for this 😳,0.0
markets bleeding rn sell everything 📉,Stock market sees sharp decline,0.95
only in ohio bro im crying,Officials warn of severe flooding,0.0
goofy ahh moment fr,Ventura County Fire Department Captain Stan Ziegler: “Hundreds of first responders responded initially to the scene.”,0.0
iran plane crash wreckage spotted from space satellite and people are still acting normal 💥,"WEATHER ALERT: Severe Thunderstorm Warning including Goldsboro NC, Mount Olive NC, Elroy NC until 3:15 PM EST",0.9
i cant process this news and nobody was ready for this 🤯,"There's method to the madness with the California wild fires. Instead of foreclosures in mass, creating a situation…",0.9
omg area man uses wtc attack as excuse to call ex-girlfriend 😟,area man uses wtc attack as excuse to sounds made up but here we are 🚨,0.75
nah this fire news is insane 🔥,clinton debunks rumors about health by telling audience exact day she will die,0.1
everything burning so fast rn 🚨,internet gonna turn this into wearing swimsuit though public pool kissed and expected us to be normal,0.05
clinton woos gay vote with freddie mercury mustache got the timeline in shambles 😳,fr clinton woos vote freddie mercury mustache really sounds fake 😭,0.75
skibidi ohio rizz is crazy,Australian Open player collapses on court as bushfire smoke covers Melbourne – video,0.0
skibidi toilet no cap lmao,6.2 magnitude earthquake strikes Turkey,0.0
skibidi toilet no cap lmao,"A fire outbreak has razed down 39 shops, ravaging furniture worth over N21 million at Kugbo furniture market in Abuja. Re…",0.0
this update is wild but in a made up way 🚨,omg football fan disappointed by 'super tuesday 😳,0.75
virus update got me stressed 🚨,death miss moneypenny needed monthlong bond but make it a meme page post,0.05
clocolan two killed when bakkie and car collide and people are still acting normal 💔,nah this violence news is insane 😟,0.85
"omg mother given gift basket of soaps, bubble bath hopefully takes hint that she smells l 😳",mother given gift basket of soaps bubble bath sounds made up but here we are 😭,0.75
a strong thunderstorm will affect southern sunflower southern and people are still acting normal 🚨,"Yup, and the US once shot down an Iranian airplane by accident. And we’ve been supp…",0.9
loyal driveway patiently waiting for owner to return sounds made up but here we are 😭,"villain contends he, hero 'very much alike",0.6
bro really said sigma grindset,nah this health news is insane 😷,0.0
only in ohio bro im crying,Officials warn of severe flooding,0.0
omg new evidence suggests last ice age caused by earth floating into extremely chilly par 😳,new evidence suggests last ice age caused by sounds made up but here we are 😭,0.75
npc energy fr no cap,just in peta's rescue team is taking this and people are still acting normal 🚨,0.0
npc energy fr no cap,West Valley La11898 Sr118 E / I405 N **Trfc Collision-Unkn Inj**,0.0
mewing streak got broken rip,"Attention Raiders, the Seminole County Fire Department is on the SLM Campus assessing smoke from an electrical issue in…",0.0
woman decides period over sounds made up but here we are 😭,wtf this headline is so unserious 🚨,0.75
telangana experienced communal violence last night at the and people are still acting normal 💔,the timeline after seeing this missing kazakhstani nukes turn manhattan and expected us to be normal,0.05
earthquake in puerto rico volcano erupts in the and people are still acting normal 💥,current outbreak malaysia influenza dengue both but make it a meme page post,0.05
this cat is literally everything 😭,WHO declares health emergency,0.0
nah this storm news is insane ⛈️,Iran plane crash wreckage spotted from space (satellite photos),0.9
bro cant believe this 😳,Status Red Marine Gale Warning Gale force 8 to storm force 10 southerly winds will develop overnight and on Monday mor…,0.9
this storm path is scary and nobody was ready for this 🌧️,"21,000 Homes Without Power As Storm Brendan Brings Violent Gusts -",0.9
skibidi ohio rizz is crazy,weather is getting ugly rn 😳,0.0
everything red on my screen rn 📉,Global stocks tumble as markets fall,0.92
ngl snow gales follow storm brendan got me stressed ⛈️,cases pneumonia reported wuhan eastern china but make it a meme page post,0.05
this situation is terrifying and nobody was ready for this 🚨,for downing the Ukrainian plane &amp; killing all those innocent people. Iran didn't call them military secrets and imp…,0.9
fr report prayers deflected passing satellites really sounds fake 😭,barista the only person in coffee shop with job,0.6
nah this violence news is insane 😟,everybody stay safe after seeing iran protests 1 500 killed 5 000 injured 🚨,0.85
"omg ailing castro begins 750,000 last words 😳",minotaurs the new vampires' says publishing executive desperate to find new vampires,0.6
everybody stay safe after seeing man jailed for serious injury collision 🚨,you the newest subsidiary of kraft foods,0.1
violent windstorm is now underway across the western and people are still acting normal 🚨,weak little man asks for help,0.1
nah this storm news is insane ⛈️,jamie lynn spears loses custody of fetus,0.1
bro cant believe this 🚨,jawan killed naugam sector avalanche but make it a meme page post,0.05
npc energy fr no cap,So what happened to Australian bush fires? Or the tens of thousands of people displaced in the Philippines due to a…,0.0
wtf this headline is so unserious 🚨,iowa aims to keep young people from moving out of state with new 'the stress will kill your mother' retention campaign,0.6
bro really said sigma grindset,A quick comparison of the ongoing 2020 M6.4 Puerto Rico earthquake sequence and the 2003 M6.5 Central California sequenc…,0.0
timeline is in chaos rn 😭,game between minnesota vikings seattle seahawks is giving absolute cinema,0.05
i cant process this news and nobody was ready for this 🤯,heard queensland border brothers found dead but make it a meme page post,0.05
ngl chinese woman quarantined thailand diagnosed same got me stressed 😷,Australian Open player collapses on court as bushfire smoke covers Melbourne – video,0.9
gyatt level event of the year,weather is getting ugly rn 😳,0.0
"omg Amazing to see a huge colony of bats flying across Batemans Bay, away from bushfire r 🔥",bro cant believe this 😳,0.85
everything burning so fast rn 🚨,"BREAKING: Bomb in Van of NJ Kosher Market Terror Suspects Could’ve Killed People 5 Football Fields Away, Officials Say - h…",0.9
